time_s,oxygen_nmol_ml,chamber,source_column,dataset,event
210.0,178.0249895994711,B,O2 conc.B [nmol/mL],dataset_I,start
211.1111111111111,177.5883195158098,B,O2 conc.B [nmol/mL],dataset_I,
212.2222222222222,178.1786878493758,B,O2 conc.B [nmol/mL],dataset_I,
213.3333333333333,177.5047066309368,B,O2 conc.B [nmol/mL],dataset_I,
214.4444444444445,177.3146552429357,B,O2 conc.B [nmol/mL],dataset_I,
215.5555555555555,178.3065848663207,B,O2 conc.B [nmol/mL],dataset_I,
216.6666666666667,178.3197155095459,B,O2 conc.B [nmol/mL],dataset_I,
217.7777777777778,178.062158902302,B,O2 conc.B [nmol/mL],dataset_I,
218.8888888888889,177.15999015846,B,O2 conc.B [nmol/mL],dataset_I,
220.0,177.424978987219,B,O2 conc.B [nmol/mL],dataset_I,
221.1111111111111,177.4784954614844,B,O2 conc.B [nmol/mL],dataset_I,
222.2222222222222,177.48810797229,B,O2 conc.B [nmol/mL],dataset_I,
223.3333333333333,176.8143332547116,B,O2 conc.B [nmol/mL],dataset_I,
224.4444444444445,177.1008040865318,B,O2 conc.B [nmol/mL],dataset_I,
225.5555555555555,177.0792364957331,B,O2 conc.B [nmol/mL],dataset_I,
226.6666666666667,177.1087954980995,B,O2 conc.B [nmol/mL],dataset_I,
227.7777777777778,177.2267327666748,B,O2 conc.B [nmol/mL],dataset_I,
228.8888888888889,176.5296460803819,B,O2 conc.B [nmol/mL],dataset_I,
230.0,177.1787882889134,B,O2 conc.B [nmol/mL],dataset_I,
231.1111111111111,177.0052715654923,B,O2 conc.B [nmol/mL],dataset_I,
232.2222222222222,176.3136920636038,B,O2 conc.B [nmol/mL],dataset_I,
233.3333333333333,176.4269931490296,B,O2 conc.B [nmol/mL],dataset_I,
234.4444444444445,176.565604888946,B,O2 conc.B [nmol/mL],dataset_I,
235.5555555555555,176.1179100372462,B,O2 conc.B [nmol/mL],dataset_I,
236.6666666666667,176.1071245995117,B,O2 conc.B [nmol/mL],dataset_I,
237.7777777777778,175.7282272864493,B,O2 conc.B [nmol/mL],dataset_I,
238.8888888888889,175.1748908100596,B,O2 conc.B [nmol/mL],dataset_I,
240.0,174.6120273451239,B,O2 conc.B [nmol/mL],dataset_I,
241.1111111111111,174.7463244183693,B,O2 conc.B [nmol/mL],dataset_I,
242.2222222222222,175.1328352292581,B,O2 conc.B [nmol/mL],dataset_I,
243.3333333333333,173.8461499557357,B,O2 conc.B [nmol/mL],dataset_I,
244.4444444444445,174.6602333326005,B,O2 conc.B [nmol/mL],dataset_I,
245.5555555555555,174.3369785059895,B,O2 conc.B [nmol/mL],dataset_I,
246.6666666666667,173.7580347160549,B,O2 conc.B [nmol/mL],dataset_I,
247.7777777777778,174.0304610755993,B,O2 conc.B [nmol/mL],dataset_I,
248.8888888888889,173.9378020466876,B,O2 conc.B [nmol/mL],dataset_I,
250.0,173.3158537878552,B,O2 conc.B [nmol/mL],dataset_I,
251.1111111111111,173.0786899622406,B,O2 conc.B [nmol/mL],dataset_I,
252.2222222222222,173.0132839585967,B,O2 conc.B [nmol/mL],dataset_I,
253.3333333333333,173.5073851501208,B,O2 conc.B [nmol/mL],dataset_I,
254.4444444444445,172.063727146006,B,O2 conc.B [nmol/mL],dataset_I,
255.5555555555555,172.8428688366778,B,O2 conc.B [nmol/mL],dataset_I,
