dataset,diagnostic_level,parameter,map_value,profile_min_value,ci_low,ci_high,verdict,map_inside_ci,n_optimizer_failures
dataset_I,publication,k_supply,0.02803952665256306,0.0062564640724725624,,0.00775161256915193,one-sided,False,1
dataset_I,publication,c_tot,178.40212183057739,799.5428395332183,538.0963695612068,,one-sided,False,6
dataset_I,publication,V_max,0.25898939483672684,0.6102873863750468,0.4925737803168352,0.7561317894933756,identifiable,False,7
dataset_I,publication,K_o,0.17013005777132983,0.7624700204497524,,,non-identifiable,,4
dataset_I,publication,K_r,3.3940678210675985,15.211156657664786,8.48871121710804,,one-sided,False,3
dataset_I,publication,gamma_oligo,0.43989575589497376,0.4364828259034929,0.36979462338608,0.5151974778978641,identifiable,True,5
dataset_I,publication,tau_kappa,8.214419413249168,5.351193640731845,1.832884719204658,10.177473415405299,identifiable,True,5
dataset_I,publication,r0,40.09644307539652,8.946725764795627,,13.73378777548829,one-sided,False,2
dataset_II,publication,k_supply,0.0023328255696942264,0.0010000000000000002,,0.0011825209848601327,one-sided,False,9
dataset_II,publication,c_tot,548.8908336504666,548.8342628011878,301.21904802452366,,one-sided,True,6
dataset_II,publication,V_max,0.21384058860503946,0.9583670287458639,0.7735150370456109,,one-sided,False,10
dataset_II,publication,K_o,1.3676192469377058,1.6944482413029802,0.890920593286431,,one-sided,True,7
dataset_II,publication,K_r,13.658647885341148,39.87706861168492,32.18548977504247,61.21381294332955,identifiable,False,7
dataset_II,publication,gamma_oligo,0.41964512089432926,0.5083067118879584,0.42919762038440207,0.6019970779869168,identifiable,False,2
dataset_II,publication,tau_kappa,2.246823905642861,8.127325536960031,4.273250437943404,,one-sided,False,8
dataset_II,publication,r0,3.685300290157584,1.0,,3.3263152110074903,one-sided,False,3
dataset_III,publication-dim12-reduced,k_supply,0.001706617437018972,0.0018410830108865426,0.0015021578798403979,0.002256478295966599,identifiable,True,6
dataset_III,publication-dim12-reduced,c_tot,713.3340772624639,191.2784852143137,,229.86931357494052,one-sided,False,7
dataset_III,publication-dim12-reduced,V_max,0.2090072851129557,0.15483640506689636,0.11470563009841188,0.20900728511295574,identifiable,True,2
dataset_III,publication-dim12-reduced,K_o,2.457122868276039,11.012060703230441,8.157935216206239,,one-sided,False,5
dataset_III,publication-dim12-reduced,K_r,47.02302103180215,210.74255941250476,115.65796882581935,,one-sided,False,7
dataset_III,publication-dim12-reduced,gamma_oligo,0.4932330673308567,0.4136606259643482,0.3317456454937055,0.5158021387697858,identifiable,True,8
dataset_III,publication-dim12-reduced,tau_kappa,3.0709096877048365,7.553219021960833,4.145294489218846,10.19577922234443,identifiable,False,6
dataset_III,publication-dim12-reduced,r0,38.85033615467627,70.78992790892678,38.85033615467627,95.55640767553503,identifiable,True,4
