dataset,method,metric,parameter,primary_index,secondary_index,diagnostic_level,n_evals
dataset_I,morris,AUC_OCR,k_supply,7.150250335348116,18.80441870858751,publication,200
dataset_I,morris,AUC_OCR,c_tot,36.6539915440175,67.28444580805449,publication,200
dataset_I,morris,AUC_OCR,V_max,153.77158146051062,81.41386416997116,publication,200
dataset_I,morris,AUC_OCR,K_o,16.54343750800124,21.474268382752882,publication,200
dataset_I,morris,AUC_OCR,K_r,22.43732852663411,32.583628896488634,publication,200
dataset_I,morris,AUC_OCR,gamma_oligo,19.0987601359131,38.7987619126236,publication,200
dataset_I,morris,AUC_OCR,tau_kappa,14.591718725794829,25.885667167204456,publication,200
dataset_I,morris,AUC_OCR,r0,18.533028179862278,43.972987810189665,publication,200
dataset_I,morris,AUC_OCR,alpha_1,59.340482671075236,70.97263948929053,publication,200
dataset_I,sobol,AUC_OCR,k_supply,0.009188398009871777,0.03475655766816422,publication,5632
dataset_I,sobol,AUC_OCR,c_tot,0.005450908806159312,0.03287003683364994,publication,5632
dataset_I,sobol,AUC_OCR,V_max,0.5825761221393257,0.807320851474817,publication,5632
dataset_I,sobol,AUC_OCR,K_o,0.003210242287938614,0.006429434123129152,publication,5632
dataset_I,sobol,AUC_OCR,K_r,0.02097307420197529,0.020857826971376604,publication,5632
dataset_I,sobol,AUC_OCR,gamma_oligo,0.01912385433029746,0.030176970195053786,publication,5632
dataset_I,sobol,AUC_OCR,tau_kappa,0.0005255710534330435,0.0014698725284401695,publication,5632
dataset_I,sobol,AUC_OCR,r0,-0.0010243740393186772,0.0030349729931622603,publication,5632
dataset_I,sobol,AUC_OCR,alpha_1,0.23922456031567907,0.31394581388416204,publication,5632
dataset_II,morris,AUC_OCR,k_supply,27.359015325391148,64.34194931390147,publication,220
dataset_II,morris,AUC_OCR,c_tot,55.67998724196193,75.7658867802276,publication,220
dataset_II,morris,AUC_OCR,V_max,131.98340924816353,92.70531540887839,publication,220
dataset_II,morris,AUC_OCR,K_o,8.08920635777721,13.199630026291505,publication,220
dataset_II,morris,AUC_OCR,K_r,28.494420918401158,40.15656000661332,publication,220
dataset_II,morris,AUC_OCR,gamma_oligo,25.248530085710854,51.18805841769648,publication,220
dataset_II,morris,AUC_OCR,tau_kappa,7.758698534810473,15.486839698028653,publication,220
dataset_II,morris,AUC_OCR,r0,29.513092480466554,48.68302862604591,publication,220
dataset_II,morris,AUC_OCR,alpha_1,63.032098984696816,82.68039618907672,publication,220
dataset_II,morris,AUC_OCR,alpha_2,23.869488364118816,71.45105865498972,publication,220
dataset_II,sobol,AUC_OCR,k_supply,-0.009543676073258152,0.03822850533220033,publication,6144
dataset_II,sobol,AUC_OCR,c_tot,-0.0015695329837794399,0.03534760322819471,publication,6144
dataset_II,sobol,AUC_OCR,V_max,0.61599115815731,0.7880319219607479,publication,6144
dataset_II,sobol,AUC_OCR,K_o,0.0008756007862164921,0.007513367343651199,publication,6144
dataset_II,sobol,AUC_OCR,K_r,0.012912849743591906,0.01625167083895455,publication,6144
dataset_II,sobol,AUC_OCR,gamma_oligo,0.02533499394481488,0.017715311108645982,publication,6144
dataset_II,sobol,AUC_OCR,tau_kappa,0.0032890366101286698,0.004931240959772429,publication,6144
dataset_II,sobol,AUC_OCR,r0,0.0027983404182477076,0.0018518819118772917,publication,6144
dataset_II,sobol,AUC_OCR,alpha_1,0.12999092717348254,0.2465540160514979,publication,6144
dataset_II,sobol,AUC_OCR,alpha_2,0.05681116970106022,0.10349382629010119,publication,6144
dataset_III,morris,AUC_OCR,k_supply,8.69498335160365,20.87300078982397,publication,260
dataset_III,morris,AUC_OCR,c_tot,22.509648832842974,47.51150251763657,publication,260
dataset_III,morris,AUC_OCR,V_max,151.85030420520303,102.61867553755528,publication,260
dataset_III,morris,AUC_OCR,K_o,8.641434217613398,13.489116010661505,publication,260
dataset_III,morris,AUC_OCR,K_r,8.766790993930446,11.759022495845125,publication,260
dataset_III,morris,AUC_OCR,gamma_oligo,10.254558125609966,33.56016558414179,publication,260
dataset_III,morris,AUC_OCR,tau_kappa,3.1454223919674535,6.4520593108578215,publication,260
dataset_III,morris,AUC_OCR,r0,20.066718136076553,38.429776016568574,publication,260
dataset_III,morris,AUC_OCR,alpha_1,16.79058766920344,43.43022676338937,publication,260
dataset_III,morris,AUC_OCR,alpha_2,16.810979847127058,38.47821193330755,publication,260
dataset_III,morris,AUC_OCR,alpha_3,13.757999108614802,36.338006979512514,publication,260
dataset_III,morris,AUC_OCR,alpha_4,3.2695834505150976,7.691337443749007,publication,260
dataset_III,sobol,AUC_OCR,k_supply,0.01989825537430398,0.05683164810215221,publication,7168
dataset_III,sobol,AUC_OCR,c_tot,0.029014308465670526,0.05599378686344161,publication,7168
dataset_III,sobol,AUC_OCR,V_max,0.5393981686467103,0.7939469445054607,publication,7168
dataset_III,sobol,AUC_OCR,K_o,0.0050846564002061225,0.010719210289321851,publication,7168
dataset_III,sobol,AUC_OCR,K_r,0.00788277674045894,0.0209969543907746,publication,7168
dataset_III,sobol,AUC_OCR,gamma_oligo,-0.010562888900862785,0.00915835005439413,publication,7168
dataset_III,sobol,AUC_OCR,tau_kappa,0.0030391836902670696,0.007519004564141849,publication,7168
dataset_III,sobol,AUC_OCR,r0,0.00028274557328107755,0.0017966207647165504,publication,7168
dataset_III,sobol,AUC_OCR,alpha_1,0.07332017724028544,0.19636420538013444,publication,7168
dataset_III,sobol,AUC_OCR,alpha_2,0.07760868917205402,0.15091939454716066,publication,7168
dataset_III,sobol,AUC_OCR,alpha_3,0.06086566205044177,0.1222280274443355,publication,7168
dataset_III,sobol,AUC_OCR,alpha_4,0.0026781802011416112,0.04995739026578134,publication,7168
