dataset,method,metric,parameter,primary_index,secondary_index,diagnostic_level,n_evals
dataset_I,morris,AUC_OCR,k_supply,7.150250335348116,18.80441870858751,publication,200
dataset_I,morris,AUC_OCR,c_tot,36.6539915440175,67.28444580805449,publication,200
dataset_I,morris,AUC_OCR,V_max,153.77158146051062,81.41386416997116,publication,200
dataset_I,morris,AUC_OCR,K_o,16.54343750800124,21.474268382752882,publication,200
dataset_I,morris,AUC_OCR,K_r,22.43732852663411,32.583628896488634,publication,200
dataset_I,morris,AUC_OCR,gamma_oligo,19.0987601359131,38.7987619126236,publication,200
dataset_I,morris,AUC_OCR,tau_kappa,14.591718725794829,25.885667167204456,publication,200
dataset_I,morris,AUC_OCR,r0,18.533028179862278,43.972987810189665,publication,200
dataset_I,morris,AUC_OCR,alpha_1,59.340482671075236,70.97263948929053,publication,200
dataset_I,sobol,AUC_OCR,k_supply,0.009188398009871777,0.03475655766816422,publication,5632
dataset_I,sobol,AUC_OCR,c_tot,0.005450908806159312,0.03287003683364994,publication,5632
dataset_I,sobol,AUC_OCR,V_max,0.5825761221393257,0.807320851474817,publication,5632
dataset_I,sobol,AUC_OCR,K_o,0.003210242287938614,0.006429434123129152,publication,5632
dataset_I,sobol,AUC_OCR,K_r,0.02097307420197529,0.020857826971376604,publication,5632
dataset_I,sobol,AUC_OCR,gamma_oligo,0.01912385433029746,0.030176970195053786,publication,5632
dataset_I,sobol,AUC_OCR,tau_kappa,0.0005255710534330435,0.0014698725284401695,publication,5632
dataset_I,sobol,AUC_OCR,r0,-0.0010243740393186772,0.0030349729931622603,publication,5632
dataset_I,sobol,AUC_OCR,alpha_1,0.23922456031567907,0.31394581388416204,publication,5632
