dataset,method,metric,parameter,primary_index,secondary_index,diagnostic_level,n_evals
dataset_II,morris,AUC_OCR,k_supply,27.359015325391148,64.34194931390147,publication,220
dataset_II,morris,AUC_OCR,c_tot,55.67998724196193,75.7658867802276,publication,220
dataset_II,morris,AUC_OCR,V_max,131.98340924816353,92.70531540887839,publication,220
dataset_II,morris,AUC_OCR,K_o,8.08920635777721,13.199630026291505,publication,220
dataset_II,morris,AUC_OCR,K_r,28.494420918401158,40.15656000661332,publication,220
dataset_II,morris,AUC_OCR,gamma_oligo,25.248530085710854,51.18805841769648,publication,220
dataset_II,morris,AUC_OCR,tau_kappa,7.758698534810473,15.486839698028653,publication,220
dataset_II,morris,AUC_OCR,r0,29.513092480466554,48.68302862604591,publication,220
dataset_II,morris,AUC_OCR,alpha_1,63.032098984696816,82.68039618907672,publication,220
dataset_II,morris,AUC_OCR,alpha_2,23.869488364118816,71.45105865498972,publication,220
dataset_II,sobol,AUC_OCR,k_supply,-0.009543676073258152,0.03822850533220033,publication,6144
dataset_II,sobol,AUC_OCR,c_tot,-0.0015695329837794399,0.03534760322819471,publication,6144
dataset_II,sobol,AUC_OCR,V_max,0.61599115815731,0.7880319219607479,publication,6144
dataset_II,sobol,AUC_OCR,K_o,0.0008756007862164921,0.007513367343651199,publication,6144
dataset_II,sobol,AUC_OCR,K_r,0.012912849743591906,0.01625167083895455,publication,6144
dataset_II,sobol,AUC_OCR,gamma_oligo,0.02533499394481488,0.017715311108645982,publication,6144
dataset_II,sobol,AUC_OCR,tau_kappa,0.0032890366101286698,0.004931240959772429,publication,6144
dataset_II,sobol,AUC_OCR,r0,0.0027983404182477076,0.0018518819118772917,publication,6144
dataset_II,sobol,AUC_OCR,alpha_1,0.12999092717348254,0.2465540160514979,publication,6144
dataset_II,sobol,AUC_OCR,alpha_2,0.05681116970106022,0.10349382629010119,publication,6144
