dataset,method,metric,parameter,primary_index,secondary_index,diagnostic_level,n_evals
dataset_III,morris,AUC_OCR,k_supply,8.69498335160365,20.87300078982397,publication,260
dataset_III,morris,AUC_OCR,c_tot,22.509648832842974,47.51150251763657,publication,260
dataset_III,morris,AUC_OCR,V_max,151.85030420520303,102.61867553755528,publication,260
dataset_III,morris,AUC_OCR,K_o,8.641434217613398,13.489116010661505,publication,260
dataset_III,morris,AUC_OCR,K_r,8.766790993930446,11.759022495845125,publication,260
dataset_III,morris,AUC_OCR,gamma_oligo,10.254558125609966,33.56016558414179,publication,260
dataset_III,morris,AUC_OCR,tau_kappa,3.1454223919674535,6.4520593108578215,publication,260
dataset_III,morris,AUC_OCR,r0,20.066718136076553,38.429776016568574,publication,260
dataset_III,morris,AUC_OCR,alpha_1,16.79058766920344,43.43022676338937,publication,260
dataset_III,morris,AUC_OCR,alpha_2,16.810979847127058,38.47821193330755,publication,260
dataset_III,morris,AUC_OCR,alpha_3,13.757999108614802,36.338006979512514,publication,260
dataset_III,morris,AUC_OCR,alpha_4,3.2695834505150976,7.691337443749007,publication,260
dataset_III,sobol,AUC_OCR,k_supply,0.01989825537430398,0.05683164810215221,publication,7168
dataset_III,sobol,AUC_OCR,c_tot,0.029014308465670526,0.05599378686344161,publication,7168
dataset_III,sobol,AUC_OCR,V_max,0.5393981686467103,0.7939469445054607,publication,7168
dataset_III,sobol,AUC_OCR,K_o,0.0050846564002061225,0.010719210289321851,publication,7168
dataset_III,sobol,AUC_OCR,K_r,0.00788277674045894,0.0209969543907746,publication,7168
dataset_III,sobol,AUC_OCR,gamma_oligo,-0.010562888900862785,0.00915835005439413,publication,7168
dataset_III,sobol,AUC_OCR,tau_kappa,0.0030391836902670696,0.007519004564141849,publication,7168
dataset_III,sobol,AUC_OCR,r0,0.00028274557328107755,0.0017966207647165504,publication,7168
dataset_III,sobol,AUC_OCR,alpha_1,0.07332017724028544,0.19636420538013444,publication,7168
dataset_III,sobol,AUC_OCR,alpha_2,0.07760868917205402,0.15091939454716066,publication,7168
dataset_III,sobol,AUC_OCR,alpha_3,0.06086566205044177,0.1222280274443355,publication,7168
dataset_III,sobol,AUC_OCR,alpha_4,0.0026781802011416112,0.04995739026578134,publication,7168
